title||auther_name|| number||issue
Python Guido 101 yes
Java James 102 yes
C Dennis 103 noo
Cplusplus Bjarne 104 yes
JavaScript Brendan 105 yes
HTML Tim 106 yes
CSS Hakon 107 yes
DataScience Andrew 108 noo
MachineLearning Tom 109 yes
DeepLearning Ian 110 yes
DBMS Korth 111 yes
OperatingSystem Galvin 112 noo
ComputerNetwork Tanenbaum 113 yes
CompilerDesign Aho 114 yes
Unix Ken 115 yes
Linux Torvalds 116 yes
CyberSecurity Stallings 117 noo
AI Russell 118 yes
Algorithms CLRS 119 yes
DataStructure Weiss 120 yes
React Jordan 121 yes
NodeJS Ryan 122 noo
PHP Rasmus 123 yes
MySQL Widenius 124 yes
MongoDB Chodorow 125 yes
CloudComputing Barrie 126 yes
Docker Poulton 127 noo
Kubernetes Burns 128 yes
Android Meier 129 yes
Swift Apple 130 yes
Flutter Google 131 yes
Django Adrian 132 noo
Flask Miguel 133 yes
Bootstrap Jacob 134 yes
Networking Forouzan 135 yes
EthicalHacking Kevin 136 yes
Cryptography William 137 noo
Assembly Kip 138 yes
Microprocessor Gaonkar 139 yes
IoT Vijay 140 yes
EmbeddedSystems Mazidi 141 yes
Arduino Banzi 142 noo
RaspberryPi Upton 143 yes
BigData Viktor 144 yes
Hadoop White 145 yes
Spark Karau 146 yes
Blockchain Satoshi 147 noo
Solidity Dannen 148 yes
GameDevelopment Unity 149 yes
Graphics Hearn 150 yes
Mathematics Thomas 151 yes
Physics Halliday 152 noo
Chemistry Morrison 153 yes
Biology Campbell 154 yes
English Wren 155 yes
Reasoning RSAgrawal 156 yes
Aptitude Arun 157 noo
GK Lucent 158 yes
Economics Samuelson 159 yes
Statistics Gupta 160 yes
Finance Ross 161 yes
Accounting Jain 162 noo
Marketing Kotler 163 yes
Management Robbins 164 yes
Psychology Baron 165 yes
Philosophy Plato 166 yes
History Sharma 167 noo
Geography Majid 168 yes
PoliticalScience Laxmikanth 169 yes
Sociology Haralambos 170 yes
Law Avtar 171 yes
Taxation Singhania 172 noo
BusinessStudies Poonam 173 yes
Entrepreneurship Gupta 174 yes
DigitalMarketing Ryan 175 yes
SEO Patel 176 yes
ContentWriting Handley 177 noo
Journalism Mencher 178 yes
Photography Kelby 179 yes
FilmMaking Brown 180 yes
Animation Williams 181 yes
Music Mozart 182 noo
Painting Vinci 183 yes
Drawing Loomis 184 yes
Yoga Ramdev 185 yes
Fitness Arnold 186 yes
Nutrition Rujuta 187 noo
Meditation Osho 188 yes
Travel LonelyPlanet 189 yes
Cooking Sanjeev 190 yes
Baking Berry 191 yes
Gardening DK 192 noo
Agriculture Subhash 193 yes
Veterinary Singh 194 yes
Zoology Miller 195 yes
Botany Pandey 196 yes
Astronomy Carl 197 noo
Astrophysics Hawking 198 yes
SpaceScience NASA 199 yes
Robotics Craig 200 yes
Automation Groover 201 yes
Nanotechnology Ratner 202 noo
QuantumPhysics Feynman 203 yes
ArtificialNeuralNetwork Simon 204 yes
ParallelComputing Wilkinson 205 yes
SoftwareEngineering Pressman 206 yes
WebDevelopment Duckett 207 noo
FullStack Black 208 yes
SystemDesign Martin 209 yes
CleanCode Robert 210 yes
```

